PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P219339,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P219340,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,,
P219341,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P219342,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P219431,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,
P219432,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P221331,8.0,8.0,,,8.0,,,,,8.0,,
P222437,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P222454,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P222600,,14.0,,,,,,,,14.0,,
P223416,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P223704,,,,,,,,,8.5,8.5,8.5,8.5
P223714,12.0,12.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P226706,,,,,,,,,16.5,,,
P226710,15.0,15.0,15.0,,,,,,,,,
P226933,16.0,16.0,16.0,16.0,,,,,,,,
P227325,,,,,,,,,15.0,15.0,15.0,
P227807,16.0,16.0,16.0,16.0,,,,,,,,
P227808,16.0,16.0,16.0,16.0,,,,,,,,
P227809,16.0,16.0,,,,,,,,,,
P228204,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P228703,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P228914,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95,17.95
P229207,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P230216,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,,
P230232,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P230234,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P230513,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P230514,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P230538,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P231112,15.0,15.0,15.0,,15.0,,,,,15.0,,
P231114,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,
P231415,12.5,,,,,,,,,,,
P231422,5.0,,,,,,,,,,,
P231441,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,
P231607,12.5,,,,,,,,,,,
P231616,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P231804,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P232218,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P232318,16.0,16.0,16.0,16.0,16.0,16.0,,,,16.0,,
P233917,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,6.0,,
P233921,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
P234100,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,
P234209,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P234211,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0
P234322,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P234323,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P234922,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P235502,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P235522,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P236803,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P236904,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
P237119,,,,,,,,19.0,19.0,19.0,19.0,19.0
P237120,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,13.0,11.0,11.0
P237205,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P237206,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P237301,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P238412,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
